iso2,year,new_sp,cases,sex,age
AD,1989,,,m,04
AD,1990,,,m,04
AD,1991,,,m,04
AD,1992,,,m,04
AD,1993,15.0,,m,04
AD,1994,24.0,,m,04
AD,1996,8.0,,m,04
AD,1997,17.0,,m,04
AD,1998,1.0,,m,04
AD,1999,4.0,,m,04
AD,2000,1.0,,m,04
AD,2001,3.0,,m,04
AD,2002,2.0,,m,04
AD,2003,7.0,,m,04
AD,2004,3.0,,m,04
AD,2005,5.0,0.0,m,04
AD,2006,8.0,0.0,m,04
AD,2007,2.0,,m,04
AD,2008,3.0,0.0,m,04
AE,1980,,,m,04
AE,1981,,,m,04
AE,1982,,,m,04
AE,1983,,,m,04
AE,1984,,,m,04
AE,1985,,,m,04
AE,1986,,,m,04
AE,1987,,,m,04
AE,1988,,,m,04
AE,1989,,,m,04
AE,1990,,,m,04
AE,1991,,,m,04
AE,1992,,,m,04
AE,1994,,,m,04
AE,1996,,,m,04
AE,1998,,,m,04
AE,1999,31.0,,m,04
AE,2000,73.0,,m,04
AE,2001,69.0,,m,04
AE,2002,57.0,,m,04
AE,2003,77.0,,m,04
AE,2004,57.0,,m,04
AE,2005,62.0,,m,04
AE,2006,52.0,0.0,m,04
AE,2007,56.0,0.0,m,04
AE,2008,50.0,0.0,m,04
AF,1980,,,m,04
AF,1981,,,m,04
AF,1982,,,m,04
AF,1983,,,m,04
AF,1984,,,m,04
AF,1985,,,m,04
AF,1986,,,m,04
AF,1987,,,m,04
AF,1988,,,m,04
AF,1989,,,m,04
AF,1990,,,m,04
AF,1991,,,m,04
AF,1997,618.0,,m,04
AF,1998,1833.0,,m,04
AF,1999,1669.0,,m,04
AF,2000,2892.0,,m,04
AF,2001,4639.0,,m,04
AF,2002,6509.0,,m,04
AF,2003,6510.0,,m,04
AF,2004,8273.0,,m,04
AF,2005,9949.0,,m,04
AF,2006,12468.0,,m,04
AF,2007,13213.0,,m,04
AF,2008,13136.0,,m,04
AG,1980,,,m,04
AG,1981,,,m,04
AG,1982,,,m,04
AG,1983,,,m,04
AG,1984,,,m,04
AG,1985,,,m,04
AG,1986,,,m,04
AG,1987,,,m,04
AG,1988,,,m,04
AG,1989,,,m,04
AG,1990,,,m,04
AG,1991,,,m,04
AG,1992,,,m,04
AG,1995,,,m,04
AG,1996,2.0,,m,04
AG,1997,,,m,04
AG,1998,,,m,04
AG,1999,1.0,,m,04
AG,2000,3.0,,m,04
AG,2001,1.0,,m,04
AG,2002,2.0,,m,04
AG,2003,1.0,,m,04
AG,2004,,,m,04
AG,2005,6.0,,m,04
AG,2006,4.0,,m,04
AG,2007,2.0,0.0,m,04
AG,2008,1.0,,m,04
AI,1980,,,m,04
AI,1981,,,m,04
AI,1982,,,m,04
AI,1983,,,m,04
AI,1984,,,m,04
AI,1985,,,m,04
AI,1986,,,m,04
AI,1987,,,m,04
AI,1988,,,m,04
AI,1989,,,m,04
AI,1990,,,m,04
AI,1991,,,m,04
AI,1992,,,m,04
AI,1995,0.0,,m,04
AI,1997,0.0,,m,04
AI,2001,0.0,,m,04
AI,2002,0.0,,m,04
AI,2003,,,m,04
AI,2004,0.0,,m,04
AI,2006,0.0,,m,04
AI,2007,0.0,,m,04
AI,2008,,,m,04
AL,1980,,,m,04
AL,1981,,,m,04
AL,1982,,,m,04
AL,1983,,,m,04
AL,1984,,,m,04
AL,1985,,,m,04
AL,1986,,,m,04
AL,1987,,,m,04
AL,1988,,,m,04
AL,1989,,,m,04
AL,1990,,,m,04
AL,1991,,,m,04
AL,1994,250.0,,m,04
AL,1995,139.0,,m,04
AL,1996,173.0,,m,04
AL,1997,241.0,,m,04
AL,1998,212.0,,m,04
AL,1999,168.0,,m,04
AL,2000,171.0,,m,04
AL,2001,171.0,,m,04
AL,2002,225.0,,m,04
AL,2003,211.0,,m,04
AL,2004,201.0,,m,04
AL,2005,196.0,0.0,m,04
AL,2006,186.0,1.0,m,04
AL,2007,165.0,0.0,m,04
AL,2008,170.0,1.0,m,04
AM,1980,,,m,04
AM,1981,,,m,04
AM,1982,,,m,04
AM,1983,,,m,04
AM,1984,,,m,04
AM,1985,,,m,04
AM,1986,,,m,04
AM,1987,,,m,04
AM,1988,,,m,04
AM,1989,,,m,04
AM,1990,,,m,04
AM,1991,,,m,04
AM,1992,,,m,04
AM,1993,,,m,04
AM,1994,319.0,,m,04
AM,1995,436.0,,m,04
AM,1996,327.0,,m,04
AM,1997,400.0,,m,04
AM,1998,475.0,,m,04
AM,1999,576.0,,m,04
AM,2000,621.0,,m,04
AM,2001,572.0,,m,04
AM,2002,511.0,,m,04
AM,2003,575.0,,m,04
AM,2004,602.0,,m,04
AM,2005,581.0,1.0,m,04
AM,2006,580.0,0.0,m,04
AM,2007,497.0,0.0,m,04
AM,2008,487.0,0.0,m,04
AN,1996,3.0,,m,04
AN,1997,5.0,,m,04
AN,1998,6.0,,m,04
AN,1999,2.0,,m,04
AN,2000,2.0,,m,04
AN,2001,7.0,,m,04
AN,2002,9.0,,m,04
AN,2003,4.0,,m,04
AN,2004,8.0,,m,04
AN,2005,,,m,04
AN,2006,5.0,0.0,m,04
AN,2007,,,m,04
AN,2008,,,m,04
AO,1980,,,m,04
AO,1981,,,m,04
AO,1982,,,m,04
AO,1983,,,m,04
AO,1984,,,m,04
AO,1985,,,m,04
AO,1986,,,m,04
AO,1987,,,m,04
AO,1988,,,m,04
AO,1989,,,m,04
AO,1990,,,m,04
AO,1991,,,m,04
AO,1992,,,m,04
AO,1993,4874.0,,m,04
AO,1994,4337.0,,m,04
AO,1995,3804.0,,m,04
AO,1996,8016.0,,m,04
AO,1997,8246.0,,m,04
AO,1998,7333.0,,m,04
AO,1999,7379.0,,m,04
AO,2000,9053.0,,m,04
AO,2001,11923.0,,m,04
AO,2002,18087.0,,m,04
AO,2003,18971.0,,m,04
AO,2004,20301.0,,m,04
AO,2005,20410.0,,m,04
AO,2006,21499.0,,m,04
AO,2007,21422.0,,m,04
AO,2008,22562.0,,m,04
AR,1980,,,m,04
AR,1981,,,m,04
AR,1982,,,m,04
AR,1983,,,m,04
AR,1984,,,m,04
AR,1985,,,m,04
AR,1986,,,m,04
AR,1987,,,m,04
AR,1988,,,m,04
AR,1989,,,m,04
AR,1990,,,m,04
AR,1991,,,m,04
AR,1992,,,m,04
AR,1993,5937.0,,m,04
AR,1994,5696.0,,m,04
AR,1995,5698.0,,m,04
AR,1996,5787.0,,m,04
AR,1997,5307.0,,m,04
AR,1998,5186.0,,m,04
AR,1999,4830.0,,m,04
AR,2000,4749.0,,m,04
AR,2001,5595.0,,m,04
AR,2002,5498.0,,m,04
AR,2003,4961.0,,m,04
AR,2004,4760.0,,m,04
AR,2005,4709.0,,m,04
AR,2006,4834.0,19.0,m,04
AR,2007,4985.0,14.0,m,04
AR,2008,4758.0,11.0,m,04
AS,1980,,,m,04
AS,1981,,,m,04
AS,1982,,,m,04
AS,1983,,,m,04
AS,1984,,,m,04
AS,1985,,,m,04
AS,1986,,,m,04
AS,1987,,,m,04
AS,1988,,,m,04
AS,1989,,,m,04
AS,1990,,,m,04
AS,1991,,,m,04
AS,1992,,,m,04
AS,1993,1.0,,m,04
AS,1994,4.0,,m,04
AS,1995,,,m,04
